taskType,label,accuracy,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
XOR,ESN,0.7333333333333333,0.3871825501818219,3.0,0.7,0.95,3.5,0.15,,,,,,
XOR,ESN,0.8333333333333334,0.7409093534348545,3.0,0.7,0.95,3.5,0.2,,,,,,
XOR,ESN,0.8333333333333334,0.4163708517187618,3.0,0.7,0.95,4.0,0.0,,,,,,
XOR,ESN,0.6,0.40428624935244695,3.0,0.7,0.95,4.0,0.05,,,,,,
XOR,ESN,0.8333333333333334,0.4887835622938366,3.0,0.7,0.95,4.0,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.3931814980861415,3.0,0.7,0.95,4.0,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.6937326437319362,3.0,0.7,0.95,4.0,0.2,,,,,,
XOR,ESN,0.6333333333333333,0.4123028971022122,3.0,0.7,0.95,4.5,0.0,,,,,,
XOR,ESN,0.8666666666666667,0.41128229410933603,3.0,0.7,0.95,4.5,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.45728922470778566,3.0,0.7,0.95,4.5,0.1,,,,,,
XOR,ESN,0.8,0.396002924585748,3.0,0.7,0.95,4.5,0.15,,,,,,
XOR,ESN,0.9,0.690372559945541,3.0,0.7,0.95,4.5,0.2,,,,,,
XOR,ESN,0.8,0.5471797592306721,3.0,0.7,0.95,5.0,0.0,,,,,,
XOR,ESN,0.8666666666666667,0.41490823069758137,3.0,0.7,0.95,5.0,0.05,,,,,,
XOR,ESN,0.8666666666666667,0.46988916131345254,3.0,0.7,0.95,5.0,0.1,,,,,,
XOR,ESN,0.7666666666666667,0.39217164433581353,3.0,0.7,0.95,5.0,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.6742806279250967,3.0,0.7,0.95,5.0,0.2,,,,,,
XOR,ESN,0.4,0.0065430376315929635,3.0,0.7,1.0,0.1,0.0,,,,,,
XOR,ESN,0.4666666666666667,0.00015102908771253313,3.0,0.7,1.0,0.1,0.05,,,,,,
XOR,ESN,0.16666666666666666,0.2600047082934945,3.0,0.7,1.0,0.1,0.1,,,,,,
XOR,ESN,0.3333333333333333,0.015171965933662157,3.0,0.7,1.0,0.1,0.15,,,,,,
XOR,ESN,0.8,0.07765778917589182,3.0,0.7,1.0,0.1,0.2,,,,,,
XOR,ESN,0.8666666666666667,0.3080794776996583,3.0,0.7,1.0,0.5,0.0,,,,,,
XOR,ESN,0.5,0.0287812459070644,3.0,0.7,1.0,0.5,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.2005145686809549,3.0,0.7,1.0,0.5,0.1,,,,,,
XOR,ESN,0.8333333333333334,0.4175074349956455,3.0,0.7,1.0,0.5,0.15,,,,,,
XOR,ESN,0.5333333333333333,0.0172773287668856,3.0,0.7,1.0,0.5,0.2,,,,,,
XOR,ESN,0.7666666666666667,0.14768450290778215,3.0,0.7,1.0,1.0,0.0,,,,,,
XOR,ESN,0.6666666666666666,0.1496878919342052,3.0,0.7,1.0,1.0,0.05,,,,,,
XOR,ESN,0.5,0.00766327042365981,3.0,0.7,1.0,1.0,0.1,,,,,,
XOR,ESN,0.7666666666666667,0.3110641603171832,3.0,0.7,1.0,1.0,0.15,,,,,,
XOR,ESN,0.7666666666666667,0.3092654467255541,3.0,0.7,1.0,1.0,0.2,,,,,,
XOR,ESN,0.7,0.06317876027622804,3.0,0.7,1.0,1.5,0.0,,,,,,
XOR,ESN,0.5,0.041883675749829256,3.0,0.7,1.0,1.5,0.05,,,,,,
XOR,ESN,0.6,0.12364784058935477,3.0,0.7,1.0,1.5,0.1,,,,,,
XOR,ESN,0.6333333333333333,0.08540290563817075,3.0,0.7,1.0,1.5,0.15,,,,,,
XOR,ESN,0.8,0.5343642419294878,3.0,0.7,1.0,1.5,0.2,,,,,,
XOR,ESN,0.5333333333333333,0.027855899681294576,3.0,0.7,1.0,2.0,0.0,,,,,,
XOR,ESN,0.5333333333333333,0.00025379847028381646,3.0,0.7,1.0,2.0,0.05,,,,,,
XOR,ESN,0.43333333333333335,0.017979392964928363,3.0,0.7,1.0,2.0,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.4617840362721868,3.0,0.7,1.0,2.0,0.15,,,,,,
XOR,ESN,0.9333333333333333,0.6904887575374185,3.0,0.7,1.0,2.0,0.2,,,,,,
XOR,ESN,0.43333333333333335,0.015281547904549058,3.0,0.7,1.0,2.5,0.0,,,,,,
XOR,ESN,0.5,0.12488258384826273,3.0,0.7,1.0,2.5,0.05,,,,,,
XOR,ESN,0.5666666666666667,0.04608677167894799,3.0,0.7,1.0,2.5,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.40751825496558425,3.0,0.7,1.0,2.5,0.15,,,,,,
XOR,ESN,0.8666666666666667,0.6722832491803383,3.0,0.7,1.0,2.5,0.2,,,,,,
XOR,ESN,0.5666666666666667,0.16506595693763082,3.0,0.7,1.0,3.0,0.0,,,,,,
XOR,ESN,0.7,0.30644643554410844,3.0,0.7,1.0,3.0,0.05,,,,,,
XOR,ESN,0.7,0.19166581294657484,3.0,0.7,1.0,3.0,0.1,,,,,,
XOR,ESN,0.6666666666666666,0.2626750089805404,3.0,0.7,1.0,3.0,0.15,,,,,,
XOR,ESN,1.0,0.6763467277936939,3.0,0.7,1.0,3.0,0.2,,,,,,
XOR,ESN,0.7,0.363930064992288,3.0,0.7,1.0,3.5,0.0,,,,,,
XOR,ESN,0.8333333333333334,0.32734526795310137,3.0,0.7,1.0,3.5,0.05,,,,,,
XOR,ESN,0.7,0.2926968059793525,3.0,0.7,1.0,3.5,0.1,,,,,,
XOR,ESN,0.7666666666666667,0.38190578082504434,3.0,0.7,1.0,3.5,0.15,,,,,,
XOR,ESN,0.9333333333333333,0.6878030186449008,3.0,0.7,1.0,3.5,0.2,,,,,,
XOR,ESN,0.5666666666666667,0.22795098329351815,3.0,0.7,1.0,4.0,0.0,,,,,,
XOR,ESN,0.7333333333333333,0.47893515916128043,3.0,0.7,1.0,4.0,0.05,,,,,,
XOR,ESN,0.8,0.32920286322244363,3.0,0.7,1.0,4.0,0.1,,,,,,
